2026-01-03 07:21:26,613 p=94759 u=dgoldgar n=ansible ERROR| [ERROR]: Unable to read source file (/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml): [Errno 2] No such file or directory: '/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml'

2026-01-03 07:21:34,814 p=94783 u=dgoldgar n=ansible WARNING| [WARNING]: ansible/group_vars/all does not exist, creating...

2026-01-03 07:34:16,333 p=97906 u=dgoldgar n=ansible WARNING| [WARNING]: ansible/inventory/group_vars/all does not exist, creating...

2026-01-03 07:45:00,282 p=98673 u=dgoldgar n=ansible ERROR| [ERROR]: the playbook: site.yml could not be found

2026-01-03 07:47:45,351 p=98772 u=dgoldgar n=ansible ERROR| [ERROR]: the playbook: site.yml could not be found

2026-01-03 09:35:00,434 p=2950 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 09:35:00,435 p=2950 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:35:00,436 p=2950 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 09:35:00,436 p=2950 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:35:00,437 p=2950 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 09:35:00,453 p=2950 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:35:01,220 p=2950 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 09:35:01,220 p=2950 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:35:01,224 p=2950 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 09:35:02,014 p=2950 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:35:02,016 p=2950 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 09:35:02,602 p=2950 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:35:02,606 p=2950 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 09:35:02,608 p=2950 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:35:04,197 p=2950 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:35:04,200 p=2950 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 09:35:04,213 p=2950 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 09:35:04,216 p=2950 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 09:35:04,595 p=2950 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 09:35:04,597 p=2950 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 09:35:04,597 p=2950 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=6    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 09:36:22,011 p=3409 u=dgoldgar n=ansible INFO| PLAY [Base system configuration] ***********************************************
2026-01-03 09:36:22,012 p=3409 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:22,013 p=3409 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 09:36:22,014 p=3409 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 09:36:22,016 p=3409 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 09:36:22,034 p=3409 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:36:22,793 p=3409 u=dgoldgar n=ansible WARNING| [WARNING]: Host 'dgoldga-ltmpyaj' is using the discovered Python interpreter at '/opt/homebrew/bin/python3.13', but future installation of another Python interpreter could cause a different interpreter to be discovered. See https://docs.ansible.com/ansible-core/2.19/reference_appendices/interpreter_discovery.html for more information.

2026-01-03 09:36:22,793 p=3409 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:22,796 p=3409 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 09:36:23,569 p=3409 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:23,571 p=3409 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 09:36:24,145 p=3409 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:24,149 p=3409 u=dgoldgar n=ansible INFO| PLAY [Test] ********************************************************************
2026-01-03 09:36:24,151 p=3409 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 09:36:24,661 p=3409 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 09:36:24,663 p=3409 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 09:36:24,675 p=3409 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
